,target
399,0.023059899
400,0.021917613
401,0.020561148
402,0.018776326
403,0.023131291
404,0.019847219
405,0.015777825
406,0.014349968
407,0.016348968
408,0.013993003
409,0.0089241094
410,0.0082101806
411,0.013064896
412,0.026129792
413,0.030413365
414,0.022488756
415,0.035196687
416,0.088812736
417,0.048689941
418,0.059041908
419,0.138288
420,0.14464196
421,0.10551867
422,0.1523524
423,0.1903334
424,0.20896695
425,0.20468337
426,0.19418862
427,0.21831941
428,0.23509674
429,0.24944671
430,0.28914114
431,0.3236239
432,0.23959449
433,0.13200543
434,0.09659456
435,0.077604055
436,0.074676947
437,0.067466267
438,0.054686942
439,0.047619048
440,0.046833726
441,0.041764832
442,0.037838224
443,0.036624545
444,0.029413864
445,0.026986507
446,0.024416363
447,0.022774327
448,0.023773827
449,0.022631541
450,0.02184622
451,0.020918112
452,0.021132291
453,0.022203184
454,0.022203184
455,0.019418862
456,0.018062397
457,0.018562147
458,0.017348469
459,0.016063397
460,0.014706932
461,0.01663454
462,0.023702434
463,0.059613051
464,0.054044406
465,0.018490755
466,0.0089955022
467,0.0094238595
468,0.009138288
469,0.029128293
470,0.049261084
471,0.073963018
472,0.042764332
473,0.041336475
474,0.10559006
475,0.10094953
476,0.14007282
477,0.13593203
478,0.12943528
479,0.12308132
480,0.20175626
481,0.2314557
482,0.24195045
483,0.25537231
484,0.25822803
485,0.24937531
486,0.25915614
487,0.28550011
488,0.30913115
489,0.25365888
490,0.15106732
491,0.11272935
492,0.093310488
493,0.07624759
494,0.07003641
495,0.061469265
496,0.05290212
497,0.051117298
498,0.04519169
499,0.042550153
500,0.038623545
501,0.037409866
502,0.035625045
503,0.033197687
504,0.031555651
505,0.031270079
506,0.030341972
507,0.0290569
508,0.026629542
509,0.020632541
510,0.017562647
511,0.015777825
512,0.013850218
513,0.013993003
514,0.013207682
515,0.019490255
516,0.021203684
517,0.014492754
518,0.015278075
519,0.02334547
520,0.070179196
521,0.086313986
522,0.1783394
523,0.20332691
524,0.19990005
525,0.12579425
526,0.077104305
527,0.10566145
528,0.17669737
529,0.22395945
530,0.23181267
531,0.20711073
532,0.22338831
533,0.23552509
534,0.20689655
535,0.12215321
536,0.10273435
537,0.16648818
538,0.25108874
539,0.21632041
540,0.20389805
541,0.18676376
542,0.21132291
543,0.26036982
544,0.27821803
545,0.18719212
546,0.11130149
547,0.085028914
548,0.066680945
549,0.061397872
550,0.058042407
551,0.055829228
552,0.053473263
553,0.048547155
554,0.048118798
555,0.045120297
556,0.042692939
557,0.046548154
558,0.04519169
559,0.045263083
560,0.038195188
561,0.032983508
562,0.029770829
563,0.024701935
564,0.02234597
565,0.021917613
566,0.026843721
567,0.025701435
568,0.023059899
569,0.027343471
570,0.030341972
571,0.065181695
572,0.053830228
573,0.044477761
